variable,alias
GP,GPeriod
ADJ,ADJFAC
GPOlap,GPOverlap
penind,CSORP
Prepen,TotPreR
Postpen,TotPostR
PrePen,TotPreV
PostPen,TotPostV
REVind,SPONLY
RevOnly∆pp,REVind
pvmind,PONLY
IncOnly∆pp,pvmind
PPFGMPREV1,p_PPFGMPREV1
pp∆i,pi
pp∆MS,MS
pp∆SpAge,SpAge
pp∆QXdef,QX
pp∆QYdef,QY
pp∆QXret,QX
pp∆QYret,QY
pp∆QYdis,QY
